Título,Resumen
Siri se actualiza a lo grande gracias a Apple Intelligence. Ahora da el salto que llevábamos años esperando,"Siri se actualiza a lo grande gracias a Apple Intelligence. Ahora da el salto que llevábamos años esperando 
Robótica e IA


La llegada de Apple Intelligence dispara las capacidades de Siri, que da un salto de gigante en posibilidades... a falta de probarla y conocer sus límites
Leer más »
            



0 comentarios

Javier Lacort
2024-06-10T18:44:45Z"
iPadOS 18 saca la artillería: la combinación del Apple Pencil y la inteligencia artificial es un caballo ganador,"iPadOS 18 saca la artillería: la combinación del Apple Pencil y la inteligencia artificial es un caballo ganador
Aplicaciones


El nuevo sistema operativo para las tabletas de Apple ya está aquí. Y pinta sorprendentemente bien.
Leer más »
            



1 comentarios

Juan Carlos López
2024-06-10T18:33:33Z"
"Cómo instalar la beta para desarrolladores de iOS 18, iPadOS 18 o WatchOS 11","Cómo instalar la beta para desarrolladores de iOS 18, iPadOS 18 o WatchOS 11 
Xataka Basics


Si quieres arriesgarte a ser de las primeras personas en probar el nuevo iOS, te decimos cómo hacerlo.
Leer más »
            



0 comentarios

Yúbal Fernández
2024-06-10T18:14:42Z"
macOS 15 Sequoia: Apple convierte los MacBook en el centro de control perfecto para los iPhone,"macOS 15 Sequoia: Apple convierte los MacBook en el centro de control perfecto para los iPhone
Servicios


Controlar el iPhone desde el Mac nunca ha sido tan fácil. 
Leer más »
            



0 comentarios

Enrique Pérez
2024-06-10T18:38:50Z"
Apple Intelligence: así es la ambiciosa apuesta de Apple por integrar al fin la IA en todo su ecosistema,"Apple Intelligence: así es la ambiciosa apuesta de Apple por integrar al fin la IA en todo su ecosistema
Robótica e IA


Bienvenidos al comienzo de la era de la inteligencia artificial en Apple.
Leer más »
            



2 comentarios

Javier Pastor
2024-06-10T18:39:30Z"
watchOS 11 añade casi todo lo que le faltaba al Apple Watch para ser un excelente reloj para deportistas,"watchOS 11 añade casi todo lo que le faltaba al Apple Watch para ser un excelente reloj para deportistas
Wearables


El nuevo sistema operativo del Apple Watch tiene mejoras centradas en productividad, pero las protagonistas son las de la salud y el deporte
Leer más »
            



0 comentarios

Javier Lacort
2024-06-10T18:17:22Z"
"iOS 18, todas las novedades: un aroma inconfundible a Android en un sistema que por fin trae la IA al iPhone","iOS 18, todas las novedades: un aroma inconfundible a Android en un sistema que por fin trae la IA al iPhone
Aplicaciones


Apple ha hecho oficial iOS 18, la nueva versión del sistema operativo para los iPhone. Todas las novedades, Apple Intelligence y el comienzo de una nueva era de la mano de OpenAI.
Leer más »
            



5 comentarios

Ricardo Aguilar
2024-06-10T18:42:49Z"
visionOS 2 es oficial: el nuevo sistema de las Vision Pro trae un impresionante doble monitor curvo 4K virtual,"visionOS 2 es oficial: el nuevo sistema de las Vision Pro trae un impresionante doble monitor curvo 4K virtual
Realidad Virtual/Aumentada


El sistema operativo de las Vision Pro recibe su primera gran actualización corrigiendo carencias de la versión anterior y dando más versatilidad
Leer más »
            



0 comentarios

Javier Lacort
2024-06-10T18:05:36Z"
Toyota se ha propuesto salvar al motor de combustión de la desaparición. Lo sorprendente es cómo: con hidrógeno,"Toyota se ha propuesto salvar al motor de combustión de la desaparición. Lo sorprendente es cómo: con hidrógeno
Xataka Movilidad


La tecnología promete alternativas (casi) neutras en carbono a los motores de combustión convencionales.
Leer más »
            



0 comentarios

Javier Pastor
2024-06-10T17:00:46Z"
Construcción y hostelería no contratan al mismo ritmo que antes. Sanidad y educación cortan el bacalao en creación de empleo,"Construcción y hostelería no contratan al mismo ritmo que antes. Sanidad y educación cortan el bacalao en creación de empleo
Empresas y economía


El empleo en España está cambiando. Construcción y hostelería ya no son el motor empleo que eran antaño. Ahora, educación, sanidad y la Administración pública marcan mayores porcentajes de crecimiento 
Leer más »
            



3 comentarios

Rubén Andrés
2024-06-10T16:46:42Z"
